Geneid	protein_id	product	ctrl4	ctrl5	ctrl6	IP1	IP2	IP3
SAOUHSC_00046	ABD29235.1	conserved hypothetical protein	422	325	391	491	707	34
SAOUHSC_00047	ABD29236.1	conserved hypothetical protein	728	423	502	497	946	50
SAOUHSC_00049	ABD29237.1	conserved hypothetical protein	2760	1817	2104	2405	3242	332
SAOUHSC_00050	ABD29238.1	conserved hypothetical protein	1498	923	1216	938	1305	113
SAOUHSC_00051	ABD29239.1	1-phosphatidylinositol phosphodiesterase precursor%2C putative	458	232	256	510	725	195
SAOUHSC_00052	ABD29240.1	conserved hypothetical protein	187	107	143	91	144	19
SAOUHSC_00053	ABD29241.1	conserved hypothetical protein	252	174	235	192	364	29
SAOUHSC_00054	ABD29242.1	conserved hypothetical protein	404	293	326	261	412	42
SAOUHSC_00055	ABD29243.1	conserved hypothetical protein	677	428	500	395	538	55
SAOUHSC_00056	ABD29244.1	conserved hypothetical protein	3651	2832	2396	4950	7006	754
SAOUHSC_00057	ABD29245.1	conserved hypothetical protein	695	591	446	793	933	282
SAOUHSC_00058	ABD29246.1	conserved hypothetical protein	1080	773	675	1271	1991	416
SAOUHSC_00060	ABD29247.1	conserved hypothetical protein	2061	1593	2005	2336	2025	798
SAOUHSC_00061	ABD29248.1	conserved hypothetical protein	2426	1611	1499	2753	3423	887
SAOUHSC_00062	ABD29249.1	conserved hypothetical protein	233	106	142	106	109	14
SAOUHSC_00064	ABD29250.1	conserved hypothetical protein	282	170	225	255	268	27
SAOUHSC_00065	ABD29251.1	conserved hypothetical protein	433	326	308	1736	2054	308
SAOUHSC_00067	ABD29252.1	L-lactate permease	5430	3872	3800	6121	7625	2185
SAOUHSC_00069	ABD29253.1	protein A	2396	2397	1628	9036	5106	882
SAOUHSC_00070	ABD29254.1	staphylococcal accessory regulator-like protein	417	285	369	970	1074	50
SAOUHSC_00071	ABD29255.1	lipoprotein%2C SirC%2C putative	4273	4439	2480	11140	13500	1670
SAOUHSC_00072	ABD29256.1	lipoprotein%2C SirB%2C putative	698	483	389	328	456	181
SAOUHSC_00074	ABD29257.1	periplasmic binding protein%2C putative	907	553	537	733	885	56
SAOUHSC_00075	ABD29258.1	conserved hypothetical protein	431	246	219	102	95	18
SAOUHSC_00076	ABD29259.1	ornithine cyclodeaminase%2C putative	597	335	297	194	162	77
SAOUHSC_00077	ABD29260.1	conserved hypothetical protein	1287	698	614	456	450	96
SAOUHSC_00078	ABD29261.1	conserved hypothetical protein	783	416	431	280	265	143
SAOUHSC_00079	ABD29262.1	conserved hypothetical protein	1309	739	620	497	509	93
SAOUHSC_00080	ABD29263.1	conserved hypothetical protein	1614	964	870	674	688	193
SAOUHSC_00081	ABD29264.1	conserved hypothetical protein	783	475	425	334	422	169
SAOUHSC_00082	ABD29265.1	conserved hypothetical protein	1343	719	720	535	770	168
SAOUHSC_00083	ABD29266.1	conserved hypothetical protein	892	525	547	397	542	156
SAOUHSC_A00084	ABD32038.1	hypothetical protein	97	46	66	31	73	6
SAOUHSC_00084	ABD29267.1	conserved hypothetical protein	157	87	83	214	252	20
SAOUHSC_00085	ABD29268.1	conserved hypothetical protein	179	127	141	401	425	60
SAOUHSC_00086	ABD29269.1	3-ketoacyl-acyl carrier protein reductase%2C putative	5205	4906	2325	9304	17985	10214
SAOUHSC_00087	ABD29270.1	conserved hypothetical protein	8	5	9	3	4	0
SAOUHSC_00088	ABD29271.1	conserved hypothetical protein	174	106	127	66	52	6
SAOUHSC_00089	ABD29272.1	conserved hypothetical protein	146	108	125	53	30	11
SAOUHSC_00090	ABD29273.1	conserved hypothetical protein	337	200	217	84	100	12
SAOUHSC_00091	ABD29274.1	conserved hypothetical protein	300	202	236	129	139	13
SAOUHSC_00092	ABD29275.1	conserved hypothetical protein	1305	878	927	1146	1802	145
SAOUHSC_00093	ABD29276.1	superoxide dismutase%2C putative	4172	2562	2910	1322	1313	342
SAOUHSC_00094	ABD29277.1	conserved hypothetical protein	70910	60050	47473	38295	58665	15909
SAOUHSC_00096	ABD29278.1	transcriptional regulator%2C GntR family%2C putative	2514	2084	1827	1585	1840	300
SAOUHSC_A00097	ABD32039.1	hypothetical protein	16	8	13	12	22	5
SAOUHSC_00097	ABD29279.1	purine nucleoside phosphorylase	5243	5310	3258	1127	2192	312
SAOUHSC_00099	ABD29280.1	conserved hypothetical protein	11263	12369	8062	3347	5452	351
SAOUHSC_00100	ABD29281.1	deoxyribose-phosphate aldolase	15023	15250	11252	6116	8552	3777
SAOUHSC_00101	ABD29282.1	phosphopentomutase	19167	21779	12736	12716	16546	6264
SAOUHSC_00102	ABD29283.1	phosphonates ABC transporter%2C permease protein CC0363%2C putative	565	428	329	292	256	70
SAOUHSC_00103	ABD29284.1	phosphonates ABC transporter%2C permease protein CC0363%2C putative	420	297	239	184	191	27
SAOUHSC_00104	ABD29285.1	amino acid ABC transporter%2C ATP-binding protein%2C putative	624	440	401	287	291	37
SAOUHSC_00105	ABD29286.1	phosphonate ABC transporter%2C substrate-binding protein%2C putative	533	349	332	300	285	28
SAOUHSC_00106	ABD29287.1	conserved hypothetical protein	1345	960	907	772	937	298
SAOUHSC_00107	ABD29288.1	conserved hypothetical protein	2232	1816	1590	1836	2375	532
SAOUHSC_00108	ABD29289.1	conserved hypothetical protein	24	14	14	5	19	0
SAOUHSC_00109	ABD29290.1	replication initiation protein%2C putative	132	55	88	48	57	3
SAOUHSC_00110	ABD29291.1	truncated replication initiation protein%2C putative	87	47	59	48	81	5
SAOUHSC_00111	ABD29292.1	hypothetical protein	22	19	20	59	37	60
SAOUHSC_00112	ABD29293.1	transposase%2C IS200 family%2C putative	301	215	225	373	614	55
SAOUHSC_00113	ABD29294.1	alcohol dehydrogenase%2C iron-containing%2C putative	3077	1934	1928	8778	21602	5753
SAOUHSC_00114	ABD29295.1	capsular polysaccharide biosynthesis protein%2C putative	1436	1572	1040	6073	11210	1019
SAOUHSC_00115	ABD29296.1	capsular polysaccharide synthesis enzyme Cap5B	1838	2062	1264	7007	12968	2257
SAOUHSC_00116	ABD29297.1	capsular polysaccharide synthesis enzyme Cap8C	2188	2538	1515	6890	15496	2341
SAOUHSC_00117	ABD29298.1	capsular polysaccharide biosynthesis protein Cap5D%2C putative	4551	5361	2847	11080	23300	8766
SAOUHSC_00118	ABD29299.1	capsular polysaccharide biosynthesis protein Cap5E%2C putative	2519	2868	1707	5625	13735	4285
SAOUHSC_00119	ABD29300.1	capsular polysaccharide synthesis enzyme Cap8F	2832	3063	1794	5325	14237	2415
SAOUHSC_00120	ABD29301.1	UDP-N-acetylglucosamine 2-epimerase	2794	3189	1849	5805	14362	5602
SAOUHSC_00121	ABD29302.1	capsular polysaccharide synthesis enzyme O-acetyl transferase Cap5H%2C putative	1245	1237	820	2637	6821	1692
SAOUHSC_00122	ABD29303.1	capsular polysaccharide biosynthesis protein Cap5I%2C putative	1893	1852	1185	4184	10913	1366
SAOUHSC_00123	ABD29304.1	capsular polysaccharide biosynthesis protein Cap5J%2C putative	1285	1204	819	3010	7719	2229
SAOUHSC_00124	ABD29305.1	capsular polysaccharide biosynthesis protein Cap5K%2C putative	861	732	679	2173	5644	725
SAOUHSC_00125	ABD29306.1	cap5L protein/glycosyltransferase%2C putative	2715	2731	1716	4507	14905	4662
SAOUHSC_00126	ABD29307.1	capsular polysaccharide biosynthesis protein Cap8M	1282	1279	860	2123	8246	3304
SAOUHSC_00127	ABD29308.1	cap5N protein/UDP-glucose 4-epimerase%2C putative	2625	2516	1704	4039	10914	1820
SAOUHSC_00128	ABD29309.1	cap5O protein/UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase	3895	3747	2340	5370	17675	5627
SAOUHSC_00129	ABD29310.1	UDP-N-acetylglucosamine 2-epimerase	4367	4038	2844	5613	15454	5475
SAOUHSC_00130	ABD29311.1	conserved hypothetical protein	1129	934	750	605	914	63
SAOUHSC_00131	ABD29312.1	conserved hypothetical protein	814	674	551	516	783	42
SAOUHSC_00132	ABD29313.1	aldehyde dehydrogenase%2C putative	12912	13802	4773	22219	33400	3107
SAOUHSC_00133	ABD29314.1	conserved hypothetical protein	972	833	657	1615	1792	185
SAOUHSC_00134	ABD29315.1	conserved hypothetical protein	139	149	89	251	322	15
SAOUHSC_00135	ABD29316.1	conserved hypothetical protein	1526	856	967	274	337	114
SAOUHSC_00136	ABD29317.1	conserved hypothetical protein	559	318	334	118	109	17
SAOUHSC_00137	ABD29318.1	conserved hypothetical protein	825	505	531	167	195	69
SAOUHSC_00138	ABD29319.1	conserved hypothetical protein	641	423	377	90	109	22
SAOUHSC_00139	ABD29320.1	conserved hypothetical protein	1556	937	978	1087	1864	294
SAOUHSC_00141	ABD29321.1	conserved hypothetical protein	32049	19882	20453	5679	5403	287
SAOUHSC_00142	ABD29322.1	formate dehydrogenase%2C NAD-dependent%2C putative	2284	1956	1442	431	437	114
SAOUHSC_00143	ABD29323.1	conserved hypothetical protein	11837	6209	7048	2139	2603	349
SAOUHSC_00144	ABD29324.1	conserved hypothetical protein	134101	77561	76936	60108	68464	14103
SAOUHSC_00145	ABD29325.1	conserved hypothetical protein	20753	12219	11752	7502	7475	1048
SAOUHSC_00146	ABD29326.1	conserved hypothetical protein	4057	2280	3389	3830	3568	2007
SAOUHSC_00147	ABD29327.1	acetylglutamate kinase%2C putative	3110	1688	2776	464	521	64
SAOUHSC_00148	ABD29328.1	glutamate N-acetyltransferase/amino-acid acetyltransferase	3684	2103	3298	554	679	160
SAOUHSC_00149	ABD29329.1	N-acetylglutamate gamma-semialdehyde dehydrogenase%2C putative	1176	631	899	269	330	50
SAOUHSC_00150	ABD29330.1	ornithine aminotransferase%2C putative	1981	1179	1527	533	677	155
SAOUHSC_00151	ABD29331.1	branched-chain amino acid transport system II carrier protein	2326	1655	1736	6792	7606	355
SAOUHSC_00152	ABD29332.1	conserved hypothetical protein	1719	1372	887	898	868	328
SAOUHSC_00153	ABD29333.1	indolepyruvate decarboxylase%2C putative	3333	2786	1606	1561	3090	455
SAOUHSC_00154	ABD29334.1	conserved hypothetical protein	38	26	22	10	9	0
SAOUHSC_00155	ABD29335.1	PTS system%2C glucose-specific component	6074	3848	3881	12943	12962	3509
SAOUHSC_00156	ABD29336.1	conserved hypothetical protein	3276	3937	2183	6903	16989	1778
SAOUHSC_00157	ABD29337.1	conserved hypothetical protein	2110	2818	1502	2498	8081	2491
SAOUHSC_00158	ABD29338.1	PTS system component	3655	4634	2461	3426	9306	2968
SAOUHSC_00160	ABD29339.1	conserved hypothetical protein	2758	3159	1789	1828	3777	387
SAOUHSC_00161	ABD29340.1	conserved hypothetical protein	115	54	67	123	276	10
SAOUHSC_00162	ABD29341.1	type I site-specific deoxyribonuclease%2C HsdR family%2C putative	3347	2686	2093	4582	5832	667
SAOUHSC_00163	ABD29342.1	conserved hypothetical protein	1253	1039	784	3116	4839	250
SAOUHSC_00164	ABD29343.1	conserved hypothetical protein	1228	1137	721	2704	3158	290
SAOUHSC_00166	ABD29344.1	conserved hypothetical protein	1756	1589	1167	2862	5045	487
SAOUHSC_00167	ABD29345.1	peptide ABC transporter%2C ATP-binding protein%2C putative	3925	2485	2786	671	779	205
SAOUHSC_00168	ABD29346.1	conserved hypothetical protein	1666	1251	1313	359	350	43
SAOUHSC_00169	ABD29347.1	peptide ABC transporter%2C permease protein%2C putative	984	711	760	161	179	35
SAOUHSC_00170	ABD29348.1	conserved hypothetical protein	1756	1151	1377	339	514	99
SAOUHSC_00171	ABD29349.1	gamma-glutamyltranspeptidase%2C putative	5241	4512	4256	1057	1222	301
SAOUHSC_00172	ABD29350.1	conserved hypothetical protein	2723	2146	2283	453	433	24
SAOUHSC_00173	ABD29351.1	acyl carrier phosphodiesterase	41082	24844	35322	1113	1488	86
SAOUHSC_00174	ABD29352.1	M23/M37 peptidase domain protein	3068	3437	1869	1760	2426	492
SAOUHSC_00175	ABD29353.1	multiple sugar-binding transport ATP-binding protein%2C putative	549	420	351	300	415	79
SAOUHSC_00176	ABD29354.1	bacterial extracellular solute-binding protein%2C putative	1061	902	752	249	353	72
SAOUHSC_00177	ABD29355.1	maltose ABC transporter%2C permease protein%2C putative	1307	1233	922	325	528	110
SAOUHSC_00178	ABD29356.1	maltose ABC transporter%2C permease protein	924	919	669	231	296	33
SAOUHSC_00179	ABD29357.1	conserved hypothetical protein	1732	1755	1273	384	563	227
SAOUHSC_00180	ABD29358.1	conserved hypothetical protein	1721	1755	1248	436	584	185
SAOUHSC_00181	ABD29359.1	conserved hypothetical protein	2195	2145	1533	599	609	128
SAOUHSC_00182	ABD29360.1	conserved hypothetical protein	678	441	470	877	985	44
SAOUHSC_00183	ABD29361.1	membrane protein%2C putative	3416	4767	3728	2315	1434	600
SAOUHSC_00184	ABD29362.1	Response regulator receiver domain protein	553	308	417	548	607	99
SAOUHSC_00185	ABD29363.1	conserved hypothetical protein	880	528	591	944	1434	157
SAOUHSC_00186	ABD29364.1	lipoprotein%2C putative	552	347	370	743	860	120
SAOUHSC_00187	ABD29365.1	formate acetyltransferase	12519	10025	7168	116231	174948	49197
SAOUHSC_00188	ABD29366.1	pyruvate formate-lyase 1 activating enzyme%2C putative	5521	4092	3008	39213	70635	26722
SAOUHSC_00189	ABD29367.1	conserved hypothetical protein	140	88	90	209	486	46
SAOUHSC_00190	ABD29368.1	conserved hypothetical protein	1406	893	978	1621	2188	204
SAOUHSC_00191	ABD29369.1	conserved hypothetical protein	4090	3293	2200	4812	4521	96
SAOUHSC_00192	ABD29370.1	coagulase	6188	9565	5373	6000	3034	299
SAOUHSC_00193	ABD29371.1	hypothetical protein	260	410	301	330	198	2
SAOUHSC_00194	ABD29372.1	hypothetical protein	397	575	327	119	171	34
SAOUHSC_00195	ABD29373.1	acetyl-CoA acetyltransferase%2C putative	3129	5647	2109	842	1837	496
SAOUHSC_00196	ABD29374.1	conserved hypothetical protein	4084	8464	2702	1734	5416	576
SAOUHSC_00197	ABD29375.1	conserved hypothetical protein	1924	5251	1231	1823	5282	871
SAOUHSC_00198	ABD29376.1	conserved hypothetical protein	3408	8153	1951	7394	14217	1265
SAOUHSC_00199	ABD29377.1	conserved hypothetical protein	4259	9314	2327	23791	38375	4536
SAOUHSC_00200	ABD29378.1	membrane protein%2C putative	1100	614	734	903	1262	170
SAOUHSC_00201	ABD29379.1	conserved hypothetical protein	2661	1358	1955	1444	1708	151
SAOUHSC_00202	ABD29380.1	conserved hypothetical protein	382	219	245	494	670	105
SAOUHSC_00203	ABD29381.1	conserved hypothetical protein	212	105	129	524	788	108
SAOUHSC_00204	ABD29382.1	Globin domain protein	2257	1446	1230	6141	11262	1033
SAOUHSC_00205	ABD29383.1	hypothetical protein	56	35	45	28	44	3
SAOUHSC_00206	ABD29384.1	L-lactate dehydrogenase	14647	13928	10757	132326	251465	57681
SAOUHSC_00208	ABD29385.1	hypothetical protein	16	18	13	35	13	6
SAOUHSC_00209	ABD29386.1	PTS system%2C glucose-specific IIBC component%2C putative	1933	1514	1228	1811	1279	640
SAOUHSC_00211	ABD29387.1	conserved hypothetical protein	444	311	278	491	608	289
SAOUHSC_00212	ABD29388.1	conserved hypothetical protein	6	2	3	0	0	0
SAOUHSC_00213	ABD29389.1	conserved hypothetical protein	724	412	399	422	419	32
SAOUHSC_00214	ABD29390.1	phosphoenolpyruvate-dependent sugar phosphotransferase system%2C EIIA 2%2C putative	142	75	89	31	25	4
SAOUHSC_00215	ABD29391.1	PTS system component%2C putative	72	51	60	26	23	2
SAOUHSC_00216	ABD29392.1	PTS system component	671	388	395	231	212	33
SAOUHSC_00217	ABD29393.1	sorbitol dehydrogenase%2C putative	725	425	415	272	299	77
SAOUHSC_00218	ABD29394.1	conserved hypothetical protein	40	28	35	18	13	6
SAOUHSC_00219	ABD29395.1	conserved hypothetical protein	1249	690	689	518	539	192
SAOUHSC_00220	ABD29396.1	conserved hypothetical protein	996	949	563	2509	3834	1234
SAOUHSC_00221	ABD29397.1	alcohol dehydrogenase%2C zinc-containing	1346	1150	785	3086	3520	445
SAOUHSC_A00219	ABD32040.1	hypothetical protein	161	124	89	279	686	74
SAOUHSC_00222	ABD29398.1	tagB protein%2C putative	2906	2200	1900	4731	6531	1134
SAOUHSC_00223	ABD29399.1	teichoic acid biosynthesis protein F%2C putative	2226	1779	1222	1731	2662	349
SAOUHSC_00225	ABD29400.1	conserved hypothetical protein	2959	2362	1964	3115	3366	525
SAOUHSC_00226	ABD29401.1	conserved hypothetical protein	6708	5131	4857	6585	9415	1345
SAOUHSC_00227	ABD29402.1	conserved hypothetical protein	15145	11420	11887	12835	20284	2370
SAOUHSC_00228	ABD29403.1	conserved hypothetical protein	33172	26103	27145	21483	32513	6676
SAOUHSC_00229	ABD29404.1	ScdA protein%2C putative	925	582	597	1654	3852	510
SAOUHSC_00230	ABD29405.1	two-component sensor histidine kinase%2C putative	1209	969	805	5297	7434	1089
SAOUHSC_00231	ABD29406.1	two-component response regulator%2C putative	312	185	178	599	1014	75
SAOUHSC_00232	ABD29407.1	conserved hypothetical protein	187	230	150	371	2348	180
SAOUHSC_00233	ABD29408.1	holin-like protein LrgB%2C putative	966	1045	592	1086	4959	1700
SAOUHSC_00234	ABD29409.1	conserved hypothetical protein	1390	1051	929	802	1018	67
SAOUHSC_00235	ABD29410.1	conserved hypothetical protein	821	453	443	165	284	19
SAOUHSC_00236	ABD29411.1	6-phospho-beta-glucosidase%2C putative	1260	893	792	249	366	106
SAOUHSC_00237	ABD29412.1	conserved hypothetical protein	695	500	425	295	340	28
SAOUHSC_00238	ABD29413.1	hypothetical protein	39	12	28	13	13	2
SAOUHSC_00239	ABD29414.1	ribokinase%2C putative	2707	2371	1359	1895	3652	952
SAOUHSC_00240	ABD29415.1	ribose ABC transporter protein%2C putative	1157	1009	648	785	1727	139
SAOUHSC_00241	ABD29416.1	conserved hypothetical protein	2563	2200	1373	1566	1871	903
SAOUHSC_00242	ABD29417.1	conserved hypothetical protein	1754	1364	1098	1960	2271	594
SAOUHSC_00243	ABD29418.1	NADH dehydrogenase subunit%2C putative	217	71	152	66	44	0
SAOUHSC_00244	ABD29419.1	conserved hypothetical protein	954	562	876	317	411	16
SAOUHSC_00245	ABD29420.1	truncated transposase	682	524	395	396	420	51
SAOUHSC_00246	ABD29421.1	drug transporter%2C putative	3007	2636	1734	1803	1596	201
SAOUHSC_00247	ABD29422.1	conserved hypothetical protein	1125	786	701	657	901	138
SAOUHSC_00248	ABD29423.1	peptidoglycan hydrolase%2C putative	1832	1586	1271	1172	1671	752
SAOUHSC_00249	ABD29424.1	conserved hypothetical protein	518	317	336	298	337	27
SAOUHSC_00250	ABD29425.1	conserved hypothetical protein	458	275	337	295	345	15
SAOUHSC_00251	ABD29426.1	conserved hypothetical protein	587	297	344	270	292	28
SAOUHSC_00253	ABD29427.1	conserved hypothetical protein	1923	1088	1529	671	695	33
SAOUHSC_00254	ABD29428.1	conserved hypothetical protein	106	71	90	86	66	4
SAOUHSC_00255	ABD29429.1	conserved hypothetical protein	481	250	342	194	207	22
SAOUHSC_00256	ABD29430.1	conserved hypothetical protein	1849	1317	1348	1021	1224	416
SAOUHSC_00257	ABD29431.1	conserved hypothetical protein	4105	3780	2616	2318	3008	1722
SAOUHSC_00258	ABD29432.1	conserved hypothetical protein	3940	2959	2830	1159	1195	93
SAOUHSC_00259	ABD29433.1	conserved hypothetical protein	664	380	515	142	123	7
SAOUHSC_00260	ABD29434.1	conserved hypothetical protein	34	24	38	27	18	0
SAOUHSC_00261	ABD29435.1	conserved hypothetical protein	393	204	231	155	157	7
SAOUHSC_00262	ABD29436.1	conserved hypothetical protein	2108	1246	1302	918	879	133
SAOUHSC_00264	ABD29437.1	conserved hypothetical protein	146	78	104	122	156	16
SAOUHSC_00265	ABD29438.1	conserved hypothetical protein	162	108	82	91	75	56
SAOUHSC_00266	ABD29439.1	conserved hypothetical protein	233	138	167	111	140	17
SAOUHSC_00267	ABD29440.1	conserved hypothetical protein	115	88	77	66	70	21
SAOUHSC_00268	ABD29441.1	conserved hypothetical protein	2435	1826	1681	2928	4248	1450
SAOUHSC_00269	ABD29442.1	conserved hypothetical protein	1451	957	1032	3418	5177	503
SAOUHSC_00270	ABD29443.1	conserved hypothetical protein	420	294	341	713	1019	85
SAOUHSC_00271	ABD29444.1	conserved hypothetical protein	251	161	148	398	622	35
SAOUHSC_00272	ABD29445.1	conserved hypothetical protein	1345	612	893	472	272	21
SAOUHSC_00274	ABD29446.1	conserved hypothetical protein	91	55	66	83	79	12
SAOUHSC_00275	ABD29447.1	conserved hypothetical protein	166	142	137	188	354	30
SAOUHSC_00276	ABD29448.1	conserved hypothetical protein	167	128	112	162	352	21
SAOUHSC_00277	ABD29449.1	conserved hypothetical protein	127	98	82	143	298	41
SAOUHSC_00278	ABD29450.1	conserved hypothetical protein	165	75	90	134	199	25
SAOUHSC_00279	ABD29451.1	conserved hypothetical protein	1931	1266	1623	607	774	52
SAOUHSC_00280	ABD29452.1	conserved hypothetical protein	2677	1579	2100	914	1083	207
SAOUHSC_00281	ABD29453.1	conserved hypothetical protein	783	617	617	2571	5262	927
SAOUHSC_00282	ABD29454.1	branched-chain amino acid transport system II carrier protein	9872	6540	4308	12584	13612	1731
SAOUHSC_00284	ABD29455.1	5'-nucleotidase%2C lipoprotein e(P4) family	650	365	411	358	439	46
SAOUHSC_A00283	ABD32041.1	hypothetical protein	16	7	8	5	5	0
SAOUHSC_00285	ABD29456.1	conserved hypothetical protein	3831	4549	3105	7258	10193	1276
SAOUHSC_00287	ABD29457.1	ABC transporter%2C ATP-binding protein%2C putative	3896	4092	2872	7007	10377	2826
SAOUHSC_00289	ABD29458.1	hypothetical protein	12	7	10	1	5	0
SAOUHSC_00290	ABD29459.1	conserved hypothetical protein	4499	3359	3421	3998	6164	1211
SAOUHSC_00291	ABD29460.1	pfkB family carbohydrate kinase family%2C putative	370	280	206	487	1099	107
SAOUHSC_00292	ABD29461.1	conserved hypothetical protein	493	372	303	563	1286	233
SAOUHSC_00293	ABD29462.1	conserved hypothetical protein	986	601	547	777	1227	151
SAOUHSC_00294	ABD29463.1	conserved hypothetical protein	3802	3831	2498	1790	1302	228
SAOUHSC_00295	ABD29464.1	N-acetylneuraminate lyase subunit%2C putative	2028	2399	1413	1622	1203	192
SAOUHSC_00296	ABD29465.1	ROK family protein	1245	1116	890	1066	1788	519
SAOUHSC_00297	ABD29466.1	conserved hypothetical protein	2298	1791	1439	2897	4128	822
SAOUHSC_00298	ABD29467.1	conserved hypothetical protein	2725	2327	1826	1054	1260	276
SAOUHSC_00299	ABD29468.1	conserved hypothetical protein	659	460	427	490	885	65
SAOUHSC_00300	ABD29469.1	lipase precursor	72129	62264	51582	44537	60419	23535
SAOUHSC_00301	ABD29470.1	conserved hypothetical protein	1641	1123	1041	1951	2210	363
SAOUHSC_00302	ABD29471.1	conserved hypothetical protein	1278	809	826	1541	1915	426
SAOUHSC_00303	ABD29472.1	hypothetical protein	84	44	50	40	75	5
SAOUHSC_00304	ABD29473.1	conserved hypothetical protein	739	461	397	474	584	116
SAOUHSC_00305	ABD29474.1	conserved hypothetical protein	252	180	150	145	239	37
SAOUHSC_00306	ABD29475.1	conserved hypothetical protein	618	440	359	386	423	78
SAOUHSC_00307	ABD29476.1	conserved hypothetical protein	690	444	354	414	551	135
SAOUHSC_00308	ABD29477.1	conserved hypothetical protein	835	533	473	461	757	170
SAOUHSC_00309	ABD29478.1	conserved hypothetical protein	3436	3312	2140	8373	9004	3315
SAOUHSC_00310	ABD29479.1	conserved hypothetical protein	2554	3079	1774	2294	1771	425
